,Champions,Loyal,Need Attention,Others
2012-01-31,513341.3596495944,360262.39858368784,-43375.20047087542,36969.91391984141
2012-02-29,523683.9621015579,373560.11041415174,-86892.74676537665,34194.50534465708
2012-03-31,534026.5645535213,386857.8222446157,-130410.29305987789,31419.096769472744
2012-04-30,544369.1670054849,400155.53407507966,-173927.8393543791,28643.688194288414
2012-05-31,554711.7694574484,413453.24590554356,-217445.38564888033,25868.279619104076
2012-06-30,565054.3719094119,426750.9577360075,-260962.93194338158,23092.871043919742
S
